XXX time_point 1185, cid 17 -> FULL
XXX time_point 1215, cid 17 -> FULL
XXX time_point 1220, cid 17 -> FULL
XXX time_point 1221, cid 17 -> FULL
XXX time_point 1226, cid 17 -> FULL
XXX time_point 1231, cid 17 -> FULL
XXX time_point 1236, cid 17 -> FULL
XXX time_point 1241, cid 17 -> FULL
XXX time_point 1242, cid 17 -> FULL
XXX time_point 1247, cid 17 -> FULL
XXX time_point 1252, cid 17 -> FULL
XXX time_point 1257, cid 17 -> FULL
XXX time_point 1262, cid 17 -> FULL
XXX time_point 1267, cid 17 -> FULL
XXX time_point 1272, cid 17 -> FULL
XXX time_point 1277, cid 17 -> FULL
XXX time_point 1282, cid 17 -> FULL
XXX time_point 1283, cid 17 -> FULL
XXX time_point 1288, cid 17 -> FULL
XXX time_point 1293, cid 17 -> FULL
XXX time_point 1323, cid 17 -> FULL
XXX time_point 1328, cid 17 -> FULL
XXX time_point 1333, cid 17 -> FULL
XXX time_point 1334, cid 17 -> FULL
XXX time_point 1335, cid 17 -> FULL
XXX time_point 1340, cid 17 -> FULL
XXX time_point 1341, cid 17 -> FULL
XXX time_point 1346, cid 17 -> FULL
XXX time_point 1352, cid 17 -> FULL
XXX time_point 1372, cid 17 -> FULL
XXX time_point 1373, cid 17 -> FULL
XXX time_point 1374, cid 17 -> FULL
XXX time_point 1379, cid 17 -> FULL
XXX time_point 1384, cid 17 -> FULL
XXX time_point 1389, cid 17 -> FULL
XXX time_point 1419, cid 17 -> FULL
XXX time_point 1424, cid 17 -> FULL
XXX time_point 1425, cid 17 -> FULL
XXX time_point 1430, cid 17 -> FULL
XXX time_point 1431, cid 17 -> FULL
XXX time_point 1436, cid 17 -> FULL
XXX time_point 1441, cid 17 -> FULL
XXX time_point 1446, cid 17 -> FULL
XXX time_point 1452, cid 17 -> FULL
XXX time_point 1472, cid 17 -> FULL
XXX time_point 1477, cid 17 -> FULL
XXX time_point 1482, cid 17 -> FULL
XXX time_point 1487, cid 17 -> FULL
XXX time_point 1497, cid 17 -> FULL
XXX time_point 1507, cid 17 -> FULL
XXX time_point 1508, cid 17 -> FULL
XXX time_point 1513, cid 17 -> FULL
XXX time_point 1518, cid 17 -> FULL
XXX time_point 1523, cid 17 -> FULL
XXX time_point 1524, cid 17 -> FULL
XXX time_point 1529, cid 17 -> FULL
XXX time_point 1534, cid 17 -> FULL
XXX time_point 1539, cid 17 -> FULL
XXX time_point 1569, cid 17 -> FULL
XXX time_point 1599, cid 17 -> FULL
XXX time_point 1619, cid 17 -> FULL
XXX time_point 1624, cid 17 -> FULL
XXX time_point 1634, cid 17 -> FULL
XXX time_point 1639, cid 17 -> FULL
XXX time_point 1644, cid 17 -> FULL
XXX time_point 1674, cid 17 -> FULL
XXX time_point 1679, cid 17 -> FULL
XXX time_point 1684, cid 17 -> FULL
XXX time_point 1689, cid 17 -> FULL
XXX time_point 1699, cid 17 -> FULL
